Time,Pitch,Roll,Yaw,X-Pos,Y-Pos,Z-Pos
69.211,-8.2830227161239,-25.0227710205349,-15.9922465916612,101.229507,-1206.067139,434.927429
69.214,-8.2926116897646,-25.0115941474621,-15.9862029425931,101.234711,-1206.084473,434.90686
69.217,-8.29713277336328,-25.0057003286169,-15.9823655022426,101.234085,-1206.11084,434.876617
69.219,-8.31096614390929,-24.996408626607,-15.9872228906111,101.240845,-1206.141602,434.856934
69.222,-8.30699461976104,-24.9785220743178,-15.9996294005672,101.243904,-1206.166992,434.832336
69.225,-8.32483755376954,-24.9794029862863,-15.9795421280691,101.241188,-1206.196777,434.808014
69.228,-8.31761296657427,-24.9693587599458,-15.9959105061077,101.232643,-1206.227783,434.777344
69.231,-8.33319147968576,-24.9536066256485,-15.9844818106415,101.231247,-1206.253052,434.762939
69.233,-8.3407195246627,-24.9461768303064,-15.9859238929235,101.2155,-1206.281982,434.746368
69.236,-8.35512016483241,-24.9385024542523,-15.9730442805007,101.209541,-1206.31189,434.730377
69.239,-8.35125735046714,-24.9353411467643,-15.9773937346951,101.209251,-1206.346191,434.717896
69.242,-8.35878680052032,-24.9267855187192,-15.9828646293483,101.197395,-1206.375732,434.711395
69.244,-8.38329335477837,-24.8877778178592,-15.9941886558204,101.172989,-1206.423706,434.683472
69.247,-8.39474927275355,-24.8671960152984,-16.0045143707672,101.156349,-1206.466553,434.665833
69.25,-8.39905826138888,-24.8646152638226,-16.013904008001,101.142441,-1206.499268,434.668488
69.253,-8.4078218700543,-24.8488201677608,-16.0178281825131,101.122261,-1206.53125,434.661865
69.256,-8.39788167931927,-24.8477875058887,-16.0153155086991,101.117249,-1206.554443,434.667145
69.258,-8.40587278613731,-24.8427881902904,-16.0142633624,101.102638,-1206.582031,434.669952
69.261,-8.41102455972015,-24.8365643285476,-16.0110040941282,101.076538,-1206.609253,434.662811
69.264,-8.40419907821267,-24.8368388680879,-16.0189458635501,101.066063,-1206.6427,434.672729
69.267,-8.41421531307224,-24.8297783146709,-16.0015448338233,101.052338,-1206.682373,434.672333
69.269,-8.41818043651602,-24.8307666369928,-16.0087255417232,101.038368,-1206.711792,434.66861
69.272,-8.40261592939742,-24.829379956622,-16.013885915126,101.016968,-1206.74353,434.678284
69.275,-8.41007168776652,-24.8256732778025,-16.0123782226381,100.9888,-1206.780518,434.687866
69.278,-8.4119004798467,-24.8377920062488,-16.0157141582728,100.97496,-1206.810913,434.692291
69.281,-8.42656382515586,-24.8327719870114,-16.0095535354906,100.947906,-1206.837891,434.703613
69.283,-8.43522028192706,-24.8291906918624,-16.001697427663,100.9319,-1206.866577,434.707214
69.286,-8.42023272786276,-24.8350730330618,-16.0020549124246,100.907623,-1206.905518,434.72406
69.289,-8.39352639866333,-24.841931822708,-16.0259164130459,100.895531,-1206.944824,434.734253
69.292,-8.38308437762528,-24.8388165663557,-16.0400171431283,100.871437,-1206.987183,434.739349
69.294,-8.38718748939323,-24.8313879798718,-16.0458785575397,100.85302,-1207.019287,434.760864
69.297,-8.37233340796659,-24.8474967334927,-16.0554027557707,100.830925,-1207.047485,434.781433
69.3,-8.36218768072728,-24.8421424943311,-16.0739648873142,100.81369,-1207.07666,434.80188
69.303,-8.34468532641826,-24.8529663048197,-16.0697568299138,100.804741,-1207.125,434.808929
69.306,-8.34413554426484,-24.8574077854865,-16.0821896288214,100.780228,-1207.156006,434.827179
69.308,-8.32363805622328,-24.8558913033471,-16.1057621738615,100.760208,-1207.190063,434.848999
69.311,-8.32451294635681,-24.8493372762624,-16.1202183448811,100.738724,-1207.223633,434.860931
69.314,-8.31432160825076,-24.8509584407329,-16.1291836682124,100.722504,-1207.267822,434.868988
69.317,-8.29771089921281,-24.8603490188069,-16.1317995361943,100.708412,-1207.301392,434.899231
